compare,basehomo,similarity,baseline
适,武,0.9903189,1
适,闭,0.99741656,1
是,适,0.99848455,0
是,是,0.9997579,1
事,是,0.9997579,0
视,发,0.999664,1
视,生,0.99956954,1
视,视,0.9997262,1
事,视,0.9997262,0
室,欢,0.999625,1
室,热,0.9996257,1
室,室,0.99939543,1
室,分,0.99965125,1
室,名,0.99957263,1
事,室,0.99939543,0
氏,氏,0.99930084,1
氏,演,0.99931103,1
氏,经,0.9996586,1
氏,王,0.9993499,1
氏,风,0.9993968,1
氏,告,0.9994407,1
氏,长,0.9994811,1
氏,呀,0.99942124,1
氏,意,0.99973243,1
氏,节,0.9996221,1
事,氏,0.99930084,0
市,色,0.9991447,1
市,种,0.9995257,1
市,习,0.99942183,1
市,准,0.99943995,1
市,头,0.998858,1
市,始,0.998887,1
市,司,0.9991463,1
市,外,0.9993895,1
市,联,0.9990138,1
市,市,0.9995114,1
市,嗯,0.99893665,1
市,加,0.99933606,1
市,英,0.99922675,1
市,注,0.9995975,1
市,醒,0.99893343,1
市,某,0.99941105,1
事,市,0.9995114,0
式,法,0.9994755,1
式,德,0.9987321,1
式,团,0.9989964,1
式,典,0.9990698,1
式,常,0.99893653,1
式,贝,0.99837583,1
式,转,0.9984794,1
式,闻,0.99886173,1
式,亮,0.99858564,1
式,练,0.9993043,1
式,传,0.99878067,1
式,远,0.9991241,1
式,花,0.99831253,1
式,游,0.9986513,1
式,但,0.9989489,1
式,费,0.99830717,1
式,喝,0.99911034,1
式,受,0.99892247,1
式,夜,0.998325,1
式,红,0.99854475,1
式,星,0.9991563,1
式,件,0.99915916,1
式,已,0.99917513,1
式,吉,0.9991162,1
式,书,0.9965026,1
式,挺,0.9986886,1
式,语,0.9987549,1
式,身,0.9985544,1
式,降,0.9988806,1
式,式,0.99929094,1
式,朋,0.9985691,1
式,永,0.99870557,1
式,写,0.99920803,1
式,师,0.9992422,1
式,忙,0.9980671,1
事,式,0.99929094,0
试,段,0.9976302,1
试,各,0.9992455,1
试,鱼,0.9981349,1
试,停,0.99816287,1
试,冻,0.9974141,1
试,满,0.9975609,1
试,跳,0.997825,1
试,器,0.9956235,1
试,赵,0.9923321,1
试,宿,0.9974465,1
试,管,0.99813724,1
试,雄,0.9957685,1
试,伴,0.99833053,1
试,湖,0.9972513,1
试,量,0.99725014,1
试,院,0.9951308,1
试,欣,0.9964651,1
试,确,0.99780726,1
试,指,0.9979295,1
试,伟,0.9967628,1
试,群,0.99637264,1
试,物,0.9990016,1
试,猪,0.9977587,1
试,故,0.9978654,1
试,谱,0.9988088,1
试,倒,0.99821603,1
试,立,0.9987717,1
试,从,0.9972635,1
试,怕,0.99776226,1
试,浪,0.99583066,1
试,兴,0.996554,1
试,蛋,0.9969399,1
试,摇,0.99577993,1
试,围,0.9983936,1
试,证,0.99678326,1
试,务,0.9984331,1
试,伦,0.9980572,1
试,久,0.99798,1
试,舞,0.99847484,1
试,进,0.9974751,1
试,嘿,0.99625367,1
试,代,0.99564606,1
试,算,0.9951079,1
试,惜,0.98090243,1
试,万,0.9973379,1
试,思,0.99764466,1
试,豆,0.99720347,1
试,断,0.99811596,1
试,落,0.99631435,1
试,并,0.9987629,1
试,炎,0.997969,1
试,山,0.99776536,1
试,父,0.9985762,1
试,况,0.9969642,1
试,送,0.9954997,1
试,军,0.9974209,1
试,够,0.99689734,1
试,咖,0.997224,1
试,附,0.9973002,1
试,试,0.996463,1
试,雷,0.99518543,1
试,答,0.99766207,1
事,试,0.996463,0
世,脑,0.9937934,1
世,术,0.99506396,1
世,印,0.99600446,1
世,良,0.9971155,1
世,似,0.9902418,1
世,河,0.9922074,1
世,治,0.99767464,1
世,楼,0.99469864,1
世,香,0.99427146,1
世,将,0.99551517,1
世,保,0.99650687,1
世,简,0.9970181,1
世,适,0.9983365,1
世,男,0.9974724,1
世,兵,0.99546295,1
世,俊,0.9971507,1
世,刮,0.9959526,1
世,标,0.996042,1
世,阳,0.9977733,1
世,弹,0.997988,1
世,装,0.9961624,1
世,望,0.99729043,1
世,卖,0.99796987,1
世,包,0.99729943,1
世,戏,0.9969024,1
世,背,0.9980723,1
世,低,0.9952199,1
世,速,0.9945671,1
世,奇,0.9966934,1
世,坐,0.99770373,1
世,未,0.9914117,1
