compare,basehomo,similarity,baseline
适,坐,0.9978124,1
适,未,0.9942143,1
适,黑,0.9966209,1
适,礼,0.99829656,1
适,乖,0.99433243,1
适,软,0.99672455,1
适,燕,0.99373335,1
适,区,0.9978098,1
适,消,0.99623567,1
适,钢,0.9987608,1
适,伙,0.9963906,1
适,工,0.9987102,1
适,世,0.9977965,1
适,界,0.99829745,1
适,泪,0.9963697,1
适,化,0.9829575,1
适,绿,0.9967909,1
适,询,0.9975512,1
适,木,0.99358153,1
适,计,0.9975948,1
适,敬,0.997378,1
适,吴,0.99585736,1
适,导,0.9988011,1
适,尚,0.9949821,1
适,柔,0.9897443,1
适,称,0.9978599,1
适,秦,0.9890522,1
适,余,0.9893215,1
适,业,0.9968827,1
适,往,0.99468607,1
适,刘,0.9943054,1
适,条,0.9969424,1
适,嵩,0.99870706,1
适,更,0.99626374,1
适,案,0.9976908,1
适,内,0.99838793,1
适,命,0.99407494,1
适,哭,0.9918034,1
适,弄,0.99309266,1
适,利,0.99628896,1
适,选,0.99201274,1
适,搞,0.9967737,1
适,照,0.9980577,1
适,祝,0.99771714,1
适,阿,0.98444504,1
适,迪,0.9899423,1
适,俩,0.9943639,1
适,尔,0.998801,1
适,鸡,0.9973328,1
适,梁,0.99658465,1
适,茹,0.9968382,1
适,短,0.9965694,1
适,杨,0.9947059,1
适,徐,0.99328667,1
适,除,0.99565256,1
适,暑,0.99896157,1
适,体,0.9979075,1
适,排,0.997754,1
适,泡,0.9945476,1
适,右,0.99819005,1
适,舒,0.9969551,1
适,类,0.997615,1
适,型,0.9966788,1
适,剧,0.99451363,1
适,郊,0.9975182,1
适,维,0.99631166,1
适,童,0.99217606,1
适,或,0.99783564,1
适,介,0.9910488,1
适,强,0.9978339,1
适,座,0.99352026,1
适,冒,0.99684864,1
适,娃,0.9953834,1
适,武,0.98568445,1
适,闭,0.99803793,1
事,适,0.9978431,0
是,是,0.9997033,1
视,是,0.9997033,0
事,自,0.9996778,1
事,事,0.999703,1
事,和,0.99970937,1
事,后,0.9997195,1
视,事,0.999703,0
室,欢,0.9995091,1
室,热,0.9995947,1
室,室,0.99941385,1
室,分,0.99958366,1
室,名,0.99961215,1
视,室,0.99941385,0
氏,氏,0.9993733,1
氏,演,0.99925154,1
氏,经,0.9996361,1
氏,王,0.9994275,1
氏,风,0.99940914,1
氏,告,0.9994138,1
氏,长,0.99952745,1
氏,呀,0.99939656,1
氏,意,0.9996904,1
氏,节,0.9996821,1
视,氏,0.9993733,0
市,色,0.9991503,1
市,种,0.99951386,1
市,习,0.9994652,1
市,准,0.9995199,1
市,头,0.99906385,1
市,始,0.99876994,1
市,司,0.9989873,1
市,外,0.9993511,1
市,联,0.9992283,1
市,市,0.99950325,1
市,嗯,0.99893695,1
市,加,0.99937254,1
市,英,0.9990751,1
市,注,0.99957716,1
市,醒,0.9991437,1
市,某,0.99930465,1
视,市,0.99950325,0
式,法,0.9993811,1
式,德,0.9985681,1
式,团,0.9987745,1
式,典,0.99893177,1
式,常,0.99899757,1
式,贝,0.9986304,1
式,转,0.99816114,1
式,闻,0.9991055,1
式,亮,0.9982853,1
式,练,0.9993497,1
式,传,0.9991772,1
式,远,0.99905825,1
式,花,0.9984414,1
式,游,0.99883854,1
式,但,0.99911183,1
式,费,0.99827623,1
式,喝,0.9987356,1
式,受,0.998779,1
式,夜,0.9988517,1
式,红,0.99848336,1
式,星,0.9991874,1
式,件,0.9989922,1
式,已,0.9991464,1
式,吉,0.9986823,1
式,书,0.9949887,1
式,挺,0.9982232,1
式,语,0.9987941,1
